,id_producto,precio,categoria,descripcion
0,P0001,58.91,Clothing,6GJFfPug1voQYH3zfXItpbjwRA7VVT64DGtG8VnRXaJJZ0SYJa
1,P0002,15.67,Electronics,Ai3c6EdaRU5C0WuWl718dSYHakqGLiMJmpbVgn7iq6syGN3UJP
2,P0003,50.58,Sports & Outdoors,yMidjq8PGxKEf6YFWfUKJN1sDhyIs2xareF0uaA4ngzUgmrDKc
3,P0004,72.88,Sports & Outdoors,E8LBdxZItLULWZUyKPwzkjZJHD2GOSuqR7Od4DX5624ex1t5lN
4,P0005,70.23,Books,zQLYUssRkFNu2GcCd8xBPrc5xiJH5DGQ66A0X4TFU0cHeazM6o
5,P0006,38.15,Home & Kitchen,BWTEBnPofLlnlzXIs7YGgeCuEdkHaoAptjWkFF3K6fWFreSdkj
6,P0007,29.46,Books,wRY7bHnZGHvTI0Wohm402P4HiSvNdT6rlMn3yPP5t2eYEUfYXD
7,P0008,84.19,Clothing,BwMy4M0Yd7xVeG9VBApK2M5w0jZNBBUxdDBmNI7wMl05DFzgyF
8,P0009,22.99,Books,ZYe56DXTf6Sq3LYpZM1aWlmrV3IBFsGccHDrvKknWrLigT7s7f
9,P0010,32.4,Books,DOCqX8LOw4BTNdjymZDf6pnZVYsVY4UwoUmOpEmAZYCijM4UJf
10,P0011,63.02,Electronics,tHlni48qZJ6w17vjViy3vKpPaWRwMrM2DG8QOFCF9ePv7AC1jv
11,P0012,45.54,Books,xMGNVYTr8m8NUWZ3lBfqq0UUxabBpNKyGR7YT3UjFzKeo4xhhG
12,P0013,7.98,Clothing,ymtkyN705n9yFHRcyOrxzrXn5d9E4NPvL2YlWqsUrTOpYuzzKN
13,P0014,75.97,Sports & Outdoors,dcIClgjCIsF6We0JkaOD2A3ryGW5T2Q1bIlqlJbZf2SAYjxvRZ
14,P0015,5.46,Sports & Outdoors,xCLI2GsjQOVjo6k8HbRIvjVJPB0OgOSscCAnoJ8LBqIXtrliAk
15,P0016,6.71,Clothing,zQP4kP8MnvlolgPEsAHYxDW7N7dI61c8FGdLNFqHcueCo1DbPb
16,P0017,84.45,Home & Kitchen,7O5sRtqsuUuwVHzaAnBe4I18BbY6uYCLJmz1F8kCBh33cgQEm6
17,P0018,59.04,Clothing,yqCWNCHEMUCEOgxFPngcHw5gvhU6eystFIThXrQahhXbMuYW4j
18,P0019,73.97,Clothing,WcmoRsvoNdAwMxSZawBaQTYraIQjiVMXxljK9awnkuc1I7lCSK
19,P0020,68.71,Clothing,9jbIBq5DfAhKkyyfHySIgf28dh24cSUXpXUpEOquUZhr85sV9A
20,P0021,35.12,Home & Kitchen,AMoiuIwS1xOgxsRVs3rwD4649qR9aUkalDcaq2jhxDw8Afdxab
21,P0022,42.43,Sports & Outdoors,A0zMzYmRjdLaudH6kh8USek3F8m6hPDaa9LenPLPPQFJIx5Clz
22,P0023,21.95,Clothing,QStJ3In5wZHrL7K3KGxeqzVVCy0HaUlv3bKyO6yP24NDnED3Ja
23,P0024,85.57,Sports & Outdoors,zGLdQAVO1D6LoZTmYSOxjo7kemb6ciJmnCx27cXHRTtazU072s
24,P0025,83.8,Home & Kitchen,l47hrLi8h1vBk93tcIyc59xf6rguIvP8pFYQrn3RYvXkfqibfI
25,P0026,89.25,Electronics,Xox9iFw7bo4HWmnbZ8i0RMJ8VUlgk8DNj0gPLH5GsZmYGruuPA
26,P0027,33.85,Books,0f0fAwqXcxXcwZNNChFYnwjyQg8HIHpnfCUQHKsP6xKT5ZB4pN
27,P0028,77.59,Clothing,i2efKv7Rt5H3sXdGaU4ytl2SsYOdu2VQLcPR40c2oCuCl3plR0
28,P0029,11.17,Home & Kitchen,nBO0y9HToKcw6xTRMSFxT218HTp0wpwtDw3GguyclhbeSa0hul
29,P0030,41.77,Electronics,cBllpmITbDLNjPqy0CuYFDkhNZeHHaZEpDJ930il1LiHo3WGpG
30,P0031,67.17,Clothing,tVTYDdfeZnc0qK182IuqbjLvDXIJzt88Ybr2wrxwmnZORYZbfr
31,P0032,87.49,Clothing,aADrV3Dtw6br9AvzW3iMIl9wlNgaFI8gw06BqIoormQqxQMnAh
32,P0033,58.98,Books,2mjZBczXVxTkoc3g0d3vK01GRq9eFNOruOuKcakM00Hf6jIiZA
33,P0034,94.16,Sports & Outdoors,bUqpklkoNewvr6t3HaWYtrY6lKZgnJeG94edpxmUm3YDfQ3WIy
34,P0035,93.23,Clothing,2aZJvLHJPIcinBX92ZxEeUJ1wYzlQYwc5IFB33YWVUDYIZwvLw
35,P0036,6.48,Books,W3aIOjd1MbpOkQiO9lZXUBIBc84twIGCLyXgnzOe8RULRBdjS8
36,P0037,71.19,Clothing,IxgPubEysQUVdxla5xri8SPBu5fsnTF0N8b9oBYzfRDFOqvD7t
37,P0038,19.83,Electronics,xd5qrZywJy8eEuYbcQ6cE28BBzs9ArjBZ50jbOOig8fBR4EbGe
38,P0039,69.0,Books,gN71LKOwRokixHVBj8TzT6zquXGiwwSxQOuK6vRffkW7tvDKp7
39,P0040,35.57,Books,Gjk8XYrOTszBPa15u9rNHLg126pst11c4c7DR1w3nR5vhzvqEp
40,P0041,29.29,Home & Kitchen,ScaEvjEBxKAgnVrZHQPpij6LUPnRiXoXrRbbWjwmMgb7ocrzKO
41,P0042,48.64,Electronics,xlLbegZrem9qbiXvREIboJbX4Pr97QrjJlfZWPmKDZHgYd4jZD
42,P0043,7.38,Clothing,a4JphBQdhy1zmA4rffuucTPOM1OLcMoS4nXRjjiDLlE2aCR5ZT
43,P0044,10.71,Electronics,gfZFRpNOuNIgY2KNhcPbE3oF0nx484p5gP8N6BHkfaO34wae9P
44,P0045,23.68,Sports & Outdoors,fkB8huW9CyZFdtreKrnH89elAeV7lteDNfmElMji05Ptqtmp3W
45,P0046,7.71,Home & Kitchen,0t5NjYTfp3L5uxHo8gw2jzWi0ddwESO5mnxmemlj88SAXaUs8v
46,P0047,68.74,Clothing,y94aapE9fFZfCA3QJ1EZDItdpE8niuID9NVQZpFEi2u9AUpKHm
47,P0048,22.93,Clothing,hgJXmz70C970r5Yiibiyf70txdUfMrCd65KupdTDlUi3NnQyQH
48,P0049,2.65,Books,mzb97TkZFjJRGUK2BOMNO59RjHzQFbgLRJ4GgAxtnKShqGgfRL
